asin,brand,dateFirstAvailable,parentASIN
B00014DNSG,Solgar,"May 7, 2005",B00014DNSG
B00014HTAY,Mushroom Wisdom,,
B00024CSMC,Mushroom Wisdom,,
B000CFKJR2,Nature's Answer,,
B000H883EA,Econugenics,,
B000H89PRE,Econugenics,,
B000Z94X8G,Pure Encapsulations,,B00TJDMBP6
B0013OVZRO,NOW Foods,,
B0016AXKRI,Mushroom Wisdom,,
B001A2S47I,Mushroom Science,,B0FF6MC8SQ
B001E0V9ZA,American Biosciences,,
B001ECVEWQ,Herbs Etc.,,
B001HYSRNU,Dynasty,,B001HYSRNU
B001PLETFA,Fungi Perfecti,,
B002WIVH6Y,Host Defense,,
B002WIVHKU,Host Defense,,B077GDDBRQ
B002WIZF6M,Host Defense,"December 19, 2009",B002WIZF6M
B002WIZFB2,Host Defense,,
B002WJ1BZK,Host Defense,"December 19, 2009",B0CTJ7P7FR
B002WJ49W2,Host Defense,,
B0039L7KOQ,New Chapter,,
B003FG52OU,PURICA Cordyceps,,
B003FIGZV2,Host Defense,,
B003LT6T3E,UMI NO SHIZUKU,"January 2, 2003",B003LT6T3E
B003PWSRSM,California Gold Nutrition,,
B004W5L82I,SOLARAY,,
B0053DR1EM,Host Defense,,
B0057LC58C,North American Herb & Spice,,
B005L4QG3K,Gallboys Mushroom Kits,,B005L4QG3K
B005N7JFJC,New Chapter,,
B0062AL9Y8,Host Defense Mushrooms,,
B0062ALAGK,Host Defense,,B01MR93IZ6
B0062ALEAC,Host Defense,,
B0062QXUVC,Host Defense,,
B0062RC9ZO,Host Defense,,
B00658L07S,Planetary Herbals,,
B00658L0GY,Planetary Herbals,,
B006EY0XR6,Roland Foods,,B00F99GS6M
B00755NVJA,Host Defense,,
B00772ATEQ,NOW Foods,,
B007C5U1BO,Dr. Mercola,"October 6, 2012",B007C5U1BO
B009E7V5R2,Life Extension,,
B009J8VKU8,Host Defense,,B0BZGTFQBT
B009N6RU1E,Mitsuwa,"October 7, 2012",B009N6RU1E
B00B62TLKG,Sun Potion,,B00B62TLKG
B00BJ5F84S,Fungi Perfecti,,B00BJ5F84S
B00BLNBNBK,Swanson,"March 4, 2013",B00BLNBNBK
B00BPPOULE,Host Defense,,
B00BUULLFC,Host Defense,,
B00BUUN95C,Host Defense,,
B00BUUPO96,Host Defense,,B0718ZQRB5
B00BUURR5U,Host Defense,,B08Z9V2HWT
B00CDAN05W,UMI NO SHIZUKU,"April 15, 2013",B00CDAN05W
B00CG66884,American Biosciences,,
B00CJ1XBJ0,Vimergy,,
B00DGBU71M,Host Defense,,
B00DGD5FSK,Host Defense,,B0CTJ7NGS1
B00DGDBP3O,Host Defense Mushrooms,,
B00DGDN6QS,Host Defense,,
B00DGDT7ES,Host Defense,"June 17, 2013",B077GDDBRQ
B00DY5HIXA,Ganoderma,,
B00E3K22M2,365 Whole Foods Market,,B00E3K22M2
B00E6ZD9DA,Waiora,,B00E6ZD9DA
B00F5DJYB8,Umeken,,B07KJLRJML
B00FSQ3B66,North American Herb & Spice,,
B00GZRJ97M,Designs for Health Liver Support,,
B00H4I5UB0,Host Defense,,
B00HG0YZMG,Quality of Life,"December 20, 2013",B00HG0YZMG
B00J816AIS,Host Defense,"March 24, 2014",B01KGHFJ98
B00JQGGCRE,Osumex,"April 16, 2014",B0F945SWYC
B00L1SNJGW,Brain Forza,"June 24, 2014",B00L1SNJGW
B00L3K8RTC,OM MUSHROOM SUPERFOOD,"August 22, 2014",B095HMD1CY
B00LA6MIIK,Four Sigmatic,,
B00LC9TY32,Hawaii Pharm,,
B00LPJM92W,SuperSmart,,
B00MY4OA6A,Om Mushroom Superfood,,
B00MY4OSGC,OM MUSHROOM SUPERFOOD,"July 13, 2014",B095HR3K7F
B00N3XBQRW,OM MUSHROOM SUPERFOOD,"December 12, 2014",B0CKKZ4178
B00OBRMFBU,OM MUSHROOM SUPERFOOD,,
B00ONVDNRY,Dr. Mercola,,
B00OVF9DVM,Host Defense,"July 16, 2014",B0CTJ6XLLS
B00PKXRSWK,Host Defense,,
B00PXRL39C,Mushroom House,,B00PXRL39C
B00PXRL3D8,Shiitake,,
B00QFOEX94,Host Defense,"December 1, 2014",B0CTJ7NGS1
B00QQTW1GA,Terrasoul Superfoods,,
B00QR2MCJ2,Terrasoul Superfoods,,
B00RRW9CBC,Host Defense,,
B00RTK4FQY,Ganoderma,,
B00RUD819W,Piping Rock,,
B00SWWAAXA,Buyenlarge 'Edible Fungi: Flat-Cap,,
B00SWWAEO0,Buyenlarge 'Edible Fungi: Common,,
B00SWWAL2A,Buyenlarge 'Edible Fungi: Parasol,,
B00TUYGRU4,Back to the Roots,,B0DLHXN14B
B00UA0W9O0,Host Defense,,
B00UI10SDU,Four Sigmatic,,B0DNRJQ7TL
B00UI10SNU,Four Sigmatic,,
B00US7HWH4,Dr. Fuhrman All Natural Immune Support,,
B00USUEX4G,3dRose,,
B00USUF18S,3dRose,,
B00USUFLC4,3dRose,,B09LKX32BQ
B00USUG3FI,3dRose,,
B00USUGTWK,3dRose,,
B00V5IYD86,Parmalat,,B00V5IYD86
B00V73XUBU,Host Defense,,
B00W80KDMU,Hawaii Pharm,,
B00W80KJ56,Hawaii Pharm,,
B00WCCE4VK,Oh! Sweet Art,,B00WCCE4VK
B00WFH3A7Q,Host Defense,,
B00WFH3BL6,Host Defense,,
B00WW8ZHZ6,Shiitake,,
B00WYPTZRS,1/8 Sheet Cake - Morel,,
B00WYPVFFI,1/4 Sheet Cake - Morel,,
B00YF22NKE,Natural Factors,,B0D61VWWN2
B00YF2ERW6,Host Defense,,
B00ZWA7LQ4,Four Sigmatic,,B0DNRJQ7TL
B0109WXJMY,Real Mushrooms,"March 29, 2016",B0109WXJMY
B011NAU2EY,Country Farms,,B0DWBNNNWK
B011T49BNW,Shiitake,,
