productId,brand,shopDomain,productName,productType,price,compareAtPrice,formFactor,mushroomTypes,variantCount,tags,url
us.foursigmatic.com_8234522804260,Four Sigmatic,us.foursigmatic.com,Creamer Bundle,,28.0,60.0,Other,Other,1,"bundle, Coffees & Creamers, creamer, show-onetime-plan, Starter Kits",https://us.foursigmatic.com/products/creamer-bundle-with-coffee
us.foursigmatic.com_8211089588260,Four Sigmatic,us.foursigmatic.com,Focus Creamer – Hazelnut,Creamer,15.0,15.0,Other,Lion's Mane,3,"Coffees & Creamers, creamer, decaf, New Website 2023, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-creamer-hazelnut
us.foursigmatic.com_8211113869348,Four Sigmatic,us.foursigmatic.com,Focus Creamer – Sweet & Creamy,Creamer,15.0,15.0,Other,Lion's Mane,3,"Coffees & Creamers, creamer, decaf, New Website 2023, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-creamer-sweet-creamy
us.foursigmatic.com_8117079310372,Four Sigmatic,us.foursigmatic.com,Original Mushroom Coffee™ (30 Cups),Instant Coffee,50.0,50.0,Coffee,Blend,4,"exclude-winter-2026, exclude_rebuy, freeplusshipping, manual-oos, show-onetime-plan",https://us.foursigmatic.com/products/original-mushroom-coffee-30-cups
us.foursigmatic.com_8052688027684,Four Sigmatic,us.foursigmatic.com,Original Mushroom Coffee™ (30 Doses),Instant Coffee,50.0,50.0,Coffee,Blend,4,"exclude-winter-2026, exclude_rebuy, freeplusshipping, manual-oos, show-onetime-plan",https://us.foursigmatic.com/products/original-mushroom-coffee-30-doses
us.foursigmatic.com_7994874069028,Four Sigmatic,us.foursigmatic.com,Focus Half Caf Ground Coffee - Medium,Ground Coffee,20.0,20.0,Coffee,Lion's Mane,3,"coffee, Coffees & Creamers, ground, Ground Coffee Bag, New Website 2023, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-organic-half-caf-ground-coffee
us.foursigmatic.com_7804649799716,Four Sigmatic,us.foursigmatic.com,Original Mushroom Coffee™,Instant Coffee,50.0,50.0,Coffee,Blend,4,"coffee, coffee-latte-original, Coffees & Creamers, exclude-upsell, focus, half caf, instant, instant-coffee-nav, latte-bags, manual-oos, show-onetime-plan, Updated 2025",https://us.foursigmatic.com/products/original-mushroom-coffee
us.foursigmatic.com_7938161442852,Four Sigmatic,us.foursigmatic.com,Original Mushroom Coffee™ (30 Servings),Instant Coffee,50.0,50.0,Coffee,Blend,4,"exclude-winter-2026, exclude_rebuy, freeplusshipping, show-onetime-plan",https://us.foursigmatic.com/products/original-mushroom-coffee-free-just-pay-shipping
us.foursigmatic.com_8084980662308,Four Sigmatic,us.foursigmatic.com,Focus Whole Bean Coffee - Dark (20oz),Ground Coffee,30.0,30.0,Coffee,Lion's Mane,3,"coffee, Coffees & Creamers, ground, Ground Coffee Bag, limited-edition, New Website 2023, reg caf, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-whole-bean-coffee-dark-20oz
us.foursigmatic.com_8080337895460,Four Sigmatic,us.foursigmatic.com,Focus Ground Coffee - Dark (20oz),Ground Coffee,30.0,30.0,Coffee,Lion's Mane,3,"coffee, Coffees & Creamers, ground, Ground Coffee Bag, limited-edition, New Website 2023, reg caf, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-ground-coffee-dark-20oz
us.foursigmatic.com_8071519272996,Four Sigmatic,us.foursigmatic.com,Mushroom Month Welcome Kit,,89.0,215.0,Other,Other,1,"bundle, exclude-winter-2026, exclude_rebuy, show-onetime-plan, Starter Kits, Supplement, Supplements",https://us.foursigmatic.com/products/mushroom-month-welcome-kit
us.foursigmatic.com_8071132381220,Four Sigmatic,us.foursigmatic.com,Coffee Lovers Bundle,,60.0,155.0,Coffee,Other,1,"bundle, Coffees & Creamers, exclude-winter-2026, exclude_rebuy, Ground Coffee Bag, show-onetime-plan, Starter Kits",https://us.foursigmatic.com/products/coffee-lovers-bundle
us.foursigmatic.com_8065242103844,Four Sigmatic,us.foursigmatic.com,Tea Variety Pack - 8 Packets,Tea,10.0,10.0,Tea,"Lion's Mane, Reishi, Turkey Tail",1,"exclude-winter-2026, instant, New Website 2023, show-onetime-plan",https://us.foursigmatic.com/products/tea-variety-pack
us.foursigmatic.com_7981610631204,Four Sigmatic,us.foursigmatic.com,Focus Ground Coffee + 10 Instant Coffee Travel Packets,,35.0,35.0,Coffee,"Lion's Mane, Chaga",1,"exclude-winter-2026, exclude_rebuy, freeplusshipping, hidden, show-onetime-plan",https://us.foursigmatic.com/products/focus-ground-coffee-10-instant-coffee-travel-packets
us.foursigmatic.com_7969731018788,Four Sigmatic,us.foursigmatic.com,Focus Ground Coffee Special: Get $120 value for only $60,,60.0,120.0,Coffee,"Lion's Mane, Chaga",1,"exclude-winter-2026, exclude_rebuy, freeplusshipping, show-onetime-plan",https://us.foursigmatic.com/products/focus-ground-coffee-special
us.foursigmatic.com_7938159509540,Four Sigmatic,us.foursigmatic.com,Focus Dark Roast Espresso Pods (Free - Just Pay Shipping),Coffee Pod,15.0,15.0,Coffee,Lion's Mane,3,"exclude-winter-2026, exclude_rebuy, freeplusshipping, show-onetime-plan",https://us.foursigmatic.com/products/focus-dark-roast-espresso-pods-free-just-pay-shipping
us.foursigmatic.com_7937123090468,Four Sigmatic,us.foursigmatic.com,Focus Ground Coffee (Free - Just Pay Shipping),Ground Coffee,20.0,20.0,Coffee,"Lion's Mane, Chaga",5,"exclude-winter-2026, exclude_rebuy, freeplusshipping, show-onetime-plan",https://us.foursigmatic.com/products/focus-ground-coffee-trial
us.foursigmatic.com_7912173436964,Four Sigmatic,us.foursigmatic.com,Focus Half-Caf Coffee Pods (24ct),Coffee Pod,36.0,36.0,Coffee,Lion's Mane,3,"coffee, Coffees & Creamers, New Website 2023, pods, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-half-caf-coffee-pods-24ct
us.foursigmatic.com_7907220914212,Four Sigmatic,us.foursigmatic.com,Focus Ground Coffee - Medium,Ground Coffee,20.0,20.0,Coffee,Lion's Mane,3,"coffee, Coffees & Creamers, ground, Ground Coffee Bag, limited-edition, New Website 2023, reg caf, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-ground-coffee-medium-roast
us.foursigmatic.com_7886240972836,Four Sigmatic,us.foursigmatic.com,Focus Medium Roast Espresso Pods (10ct),Coffee Pod,15.0,15.0,Coffee,Lion's Mane,3,"coffee, Coffees & Creamers, New Website 2023, pods, reg caf, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-medium-roast-espresso-pods-10ct
us.foursigmatic.com_7886229471268,Four Sigmatic,us.foursigmatic.com,Focus Dark Roast High Caf Espresso Pods (10ct),Coffee Pod,15.0,15.0,Coffee,Lion's Mane,3,"coffee, Coffees & Creamers, New Website 2023, pods, reg caf, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-dark-roast-hi-caf-espresso-pods-10ct
us.foursigmatic.com_7885915160612,Four Sigmatic,us.foursigmatic.com,Focus Dark Roast Espresso Pods (10ct),Coffee Pod,15.0,15.0,Coffee,Lion's Mane,3,"coffee, Coffees & Creamers, New Website 2023, pods, reg caf, show-onetime-plan, think, Updated 2025",https://us.foursigmatic.com/products/focus-dark-roast-espresso-pods-10ct
us.foursigmatic.com_7894279061540,Four Sigmatic,us.foursigmatic.com,The Last of Us New Look Insert,,0.0,,Other,Cordyceps,1,"free, YBlocklist",https://us.foursigmatic.com/products/the-last-of-us-new-look-insert
us.foursigmatic.com_7807637028900,Four Sigmatic,us.foursigmatic.com,HBO Original The Last Of Us - Organic High Caf Ground Coffee,Ground Coffee,20.0,20.0,Coffee,"Lion's Mane, Cordyceps",3,"boost, coffee, Coffees & Creamers, ground, high caf, manual-oos",https://us.foursigmatic.com/products/the-last-of-us-high-caf-ground-coffee
us.foursigmatic.com_7758021558308,Four Sigmatic,us.foursigmatic.com,Focus Green Tea,Tea,20.0,20.0,Tea,Other,3,"instant, New Website 2023, show-onetime-plan, tea",https://us.foursigmatic.com/products/focus-organic-green-tea
us.foursigmatic.com_7798472769572,Four Sigmatic,us.foursigmatic.com,Protein Sampler,,150.0,150.0,Other,Other,1,"bundle, bundles-2025, ground, reg caf, show-onetime-plan, Starter Kits",https://us.foursigmatic.com/products/protein-sampler-2025
