tcin,brand,productName,price,regPrice,rating,reviewCount,boughtPastMonth,formFactor,category,url,searchQuery
1002267450,BioSchwartz,"13in1 Mushroom Complex Supplement, Organic Lions Mane, Reishi, Turkey Tail, Cordyceps & more for Energy, Focus & Memory Support, Bioschwartz, 90ct",19.97,27.96,4.91,31,100+ bought in last month,Other,,https://www.target.com/p/-/A-1002267450,mushroom supplement
94736510,Alice Mushrooms,Alice Mushrooms Happy Ending Mushroom Dietary Supplement Chocolates - 8ct,13.99,14.99,2.98,415,4k+ bought in last month,Chocolate,,https://www.target.com/p/-/A-94736510,mushroom supplement
93441199,Youtheory,Youtheory Lion's Mane Plus - Mushroom Supplement with Cognizin - Offers Focus & Brain Support* - 60 Vegetarian Capsules,15.99,15.99,5.0,3,,Capsule,,https://www.target.com/p/-/A-93441199,mushroom supplement
93165643,SuperMush,SuperMush Daily Passion Mushroom Supplement Gummies - 28ct/14 Servings,19.99,19.99,4.93,78,2k+ bought in last month,Gummy,,https://www.target.com/p/-/A-93165643,mushroom supplement
93165644,SuperMush,SuperMush Daily Energy Mushroom Supplement Gummies - 28ct/14 Servings,19.99,19.99,4.62,68,1k+ bought in last month,Gummy,,https://www.target.com/p/-/A-93165644,mushroom supplement
94736509,Alice Mushrooms,Alice Mushrooms Brainstorm Mushroom Dietary Supplement Chocolates - 8ct,13.99,14.99,4.37,605,2k+ bought in last month,Chocolate,,https://www.target.com/p/-/A-94736509,mushroom supplement
83782038,Om Mushrooms,Om Mushrooms Master Blend Superfood Vegan Powder - 1.90oz,15.79,15.79,4.67,1587,70+ bought in last month,Powder,,https://www.target.com/p/-/A-83782038,mushroom supplement
94736511,Alice Mushrooms,Alice Mushrooms Nightcap Mushroom Dietary Supplement Chocolates - 8ct: 5mg Chewable Tablets,13.99,14.99,4.09,668,2k+ bought in last month,Gummy,,https://www.target.com/p/-/A-94736511,mushroom supplement
80932163,Om Mushrooms,"Om Mushrooms Superfood Lion&#39;s Mane Vegan Capsules - 45ct: Dietary Supplement, 2000mg Per Serving",12.74,14.99,4.7,350,50+ bought in last month,Capsule,,https://www.target.com/p/-/A-80932163,mushroom supplement
93336795,Fungies,Fungies Best Multivitamins Mushroom Daily Vegan Gummies - 60ct: Mixed Berry Flavor,19.99,19.99,4.32,564,,Gummy,,https://www.target.com/p/-/A-93336795,mushroom supplement
92988587,Force Factor,"Force Factor Modern Mushrooms Vegan Soft Chews - Cinnamon Roll - 60ct: Dietary Supplement, Greens and Superfood",12.74,14.99,4.82,531,600+ bought in last month,Other,,https://www.target.com/p/-/A-92988587,mushroom supplement
93165642,SuperMush,SuperMush Daily Sleep Mushroom Supplement Vegan Gummies - 28ct/14 Servings,19.99,19.99,4.47,119,1k+ bought in last month,Gummy,,https://www.target.com/p/-/A-93165642,mushroom supplement
90215617,Lemme,"Lemme Focus Gummies - Brain Health &#38; Concentration Support - Cognizin, B12 &#38; Lion&#8217;s Mane - Strawberry Flavored -&#160;50ct",29.99,29.99,4.21,318,5k+ bought in last month,Gummy,,https://www.target.com/p/-/A-90215617,mushroom supplement
83782039,Om Mushrooms,"Om Mushrooms Lion&#39;s Blend Superfood Vegan Powder - 2.11oz: Dietary Supplement, Unflavored, 1-Pack",14.99,14.99,4.64,803,,Powder,,https://www.target.com/p/-/A-83782039,mushroom supplement
1002268601,BioSchwartz,"Mushroom Gummies for Adults, 10in1 Mushroom Supplement for Mood and Focus with Lions Mane, Turkey Tail, & More, Raspberry Flavor, Bioschwartz, 60ct",13.97,16.76,4.85,19,,Gummy,,https://www.target.com/p/-/A-1002268601,mushroom supplement
93565389,Host Defense,"Host Defense Turkey Tail Mushroom Vegan Capsules - 30ct: Organic, Non-GMO, Dietary Supplements",15.79,15.79,5.0,3,200+ bought in last month,Capsule,,https://www.target.com/p/-/A-93565389,mushroom supplement
75664820,OLLY,"OLLY Extra Strength Probiotic Gummies for Immune and Digestive Support - Gluten-Free, No Artificial Flavors - 50ct",16.89,16.89,4.52,578,8k+ bought in last month,Gummy,,https://www.target.com/p/-/A-75664820,mushroom supplement
94734442,Plant People,Plant People WonderCalm Mushroom Multivitamin Gummies - 30ct,19.99,19.99,4.76,255,2k+ bought in last month,Gummy,,https://www.target.com/p/-/A-94734442,mushroom supplement
84014651,Om Mushrooms,"Om Mushrooms Supplement 30 Servings Vegan Powder - Hot Chocolate - 8.4oz: Organic Certified, Kosher, Gluten-Free, Greens and Superfood Supplements",28.99,28.99,4.74,442,,Powder,,https://www.target.com/p/-/A-84014651,mushroom supplement
13283520,Nature Made,"Nature Made Extra Strength Magnesium Oxide 400mg, Muscle, Nerve, Bone, Heart Support Softgels - 60ct",13.99,13.99,4.09,525,13k+ bought in last month,Capsule,,https://www.target.com/p/-/A-13283520,mushroom supplement
93565390,Host Defense,"Host Defense Stamets 7 Mushroom Vegan Capsules - 30ct: Organic Certified, Non-GMO, Unflavored Dietary Supplement",15.79,15.79,5.0,2,400+ bought in last month,Capsule,,https://www.target.com/p/-/A-93565390,mushroom supplement
89311350,Lemme,Lemme Debloat Pre + Probiotic Gummies - Bloat Support &#38; Digestion - Blackberry Flavor - 60ct,29.99,29.99,4.47,1854,27k+ bought in last month,Gummy,,https://www.target.com/p/-/A-89311350,mushroom supplement
89259663,OLLY,"OLLY Probiotic + Prebiotic Gummies - Peachy Peach - 60ct: Dietary Supplement, Gluten-Free",23.99,23.99,,,14k+ bought in last month,Gummy,,https://www.target.com/p/-/A-89259663,mushroom supplement
93336796,Fungies,Fungies Lion&#39;s Mane Mushroom Focus Vitamin Vegan Gummies - 60ct,19.99,19.99,4.49,1275,,Gummy,,https://www.target.com/p/-/A-93336796,mushroom supplement
83798722,OLLY,"OLLY Goodbye Stress Gummies with GABA, L-Theanine &#38; Lemon Balm - Berry Verbena - 60ct: Gluten-Free Supplement",16.99,16.99,,,8k+ bought in last month,Gummy,,https://www.target.com/p/-/A-83798722,mushroom supplement
87545632,Double Wood Supplements,Lion's Mane Mushroom - 120 x 500 mg capsules by Double Wood Supplements - Supports Brain Health and Neuron Growth,19.95,19.95,4.5,4,,Capsule,,https://www.target.com/p/-/A-87545632,mushroom supplement
94673558,SuperMush,SuperMush Daily Passion Mushroom Vegan Supplement Gummies - 60ct/30 Servings,39.99,39.99,4.99,53,,Gummy,,https://www.target.com/p/-/A-94673558,mushroom supplement
93565388,Host Defense,"Host Defense Lion&#39;s Mane Mushroom Vegan Capsules - 30ct: Organic Certified, Non-GMO, Dietary Supplements",15.79,15.79,4.5,4,300+ bought in last month,Capsule,,https://www.target.com/p/-/A-93565388,mushroom supplement
94673557,SuperMush,SuperMush Daily Energy Mushroom Vegan Supplement Gummies - 60ct/30 Servings: Multivitamins,39.99,39.99,4.84,75,,Gummy,,https://www.target.com/p/-/A-94673557,mushroom supplement
93142875,Om Mushrooms,Om Mushrooms Lions Mane for Memory &#38; Focus Support Vegan Organic Gummies - 40ct,19.99,19.99,4.39,153,,Gummy,,https://www.target.com/p/-/A-93142875,mushroom supplement
92698017,EVLution Nutrition,Evlution Nutrition - Organic Lion’s Mane Mushroom - Nootropics Brain Support Supplement for Focus Memory Clarity & Immunity Support - 30 Servings,16.99,21.24,4.75,8,,Other,,https://www.target.com/p/-/A-92698017,mushroom supplement
78296936,OLLY,"OLLY Ultra Strength Goodbye Stress Relief Softgels Supplement - 60ct: Gluten-Free, No Artificial Colors, GABA 125mg",20.99,20.99,4.32,568,7k+ bought in last month,Capsule,,https://www.target.com/p/-/A-78296936,mushroom supplement
1003256902,Nature's Nutrition,"Mushroom Supplement Powder 11-1 Complex Powder Organic Lions Mane, Reishi, Cordyceps, Chaga, Turkey Tail, Maitake, 60 Servings By Nature's Nutrition",23.32,29.15,0.0,0,,Powder,,https://www.target.com/p/-/A-1003256902,mushroom supplement
88557621,SMNutrition,"Elite 10 Mushroom Blend Capsules, SMNutrition, 90ct",15.95,22.33,5.0,5,,Powder,,https://www.target.com/p/-/A-88557621,mushroom supplement
1007453022,NatureWise,NatureWise Mushroom Complex - with Organic Lion's Mane + Reishi & Cordyceps Sinensis - Lions Mane Supplement - Vegan - Non-GMO  90 Capsules,17.99,17.99,,,,Capsule,,https://www.target.com/p/-/A-1007453022,mushroom supplement
76614087,Garden of Life,Garden of Life Grass Fed Collagen Peptides Dietary Supplement Powder - Unflavored - Collagen Protein - 9.87oz,22.99,22.99,4.21,1764,5k+ bought in last month,Powder,,https://www.target.com/p/-/A-76614087,mushroom supplement
93336792,Fungies,Fungies Tremella Mushroom Beauty Vitamin Vegan Gummies - 60ct,19.99,19.99,4.7,55,,Gummy,,https://www.target.com/p/-/A-93336792,mushroom supplement
94673559,SuperMush,SuperMush Daily Sleep Mushroom Vegan Supplement Gummies - 60ct/30 Servings,39.99,39.99,4.91,81,,Gummy,,https://www.target.com/p/-/A-94673559,mushroom supplement
1003257282,Nature's Nutrition,"Lions Mane Mushroom Supplement, Brain Supplement, Mushroom Supplement for Focus, Memory, Cognition Support - 120 Capsules By Nature's Nutrition",12.52,15.65,0.0,0,,Capsule,,https://www.target.com/p/-/A-1003257282,mushroom supplement
50368916,up&up,Immune Support Probiotic Dietary Supplement Capsules - 30ct - up&#38;up&#8482;: 15 Billion CFUs,14.69,14.69,4.58,157,,Capsule,,https://www.target.com/p/-/A-50368916,mushroom supplement
1003256898,Nature's Peak,"Brain Mushroom Powder - Mushroom Extract Powder, 11 in 1 Complex Mushroom Supplement with Organic Lions Mane - 60 Servings By Nature's Peak",21.42,26.78,0.0,0,,Powder,,https://www.target.com/p/-/A-1003256898,mushroom supplement
94189976,up&up,Greens and Superfoods Supplement Powder 30srv Tub: Nutritional Dietary Blend - Strawberry/Kiwi - 6.35oz - up&#38;up&#8482;,19.99,19.99,4.74,15,4k+ bought in last month,Powder,,https://www.target.com/p/-/A-94189976,mushroom supplement
1005061003,Nature's Nutrition,Mushroom Supplement Gummy - 12 in 1 Mushroom Complex with Lions Mane & Reishi - 60 Gummies By Nature's Nutrition,14.32,17.9,0.0,0,,Gummy,,https://www.target.com/p/-/A-1005061003,mushroom supplement
93142873,Om Mushrooms,"Om Mushrooms Master Blend + Ashwagandha Vegan Organic Gummies - 40ct: Mixed Berry, Multivitamins, Vitamins",19.99,19.99,4.72,85,,Gummy,,https://www.target.com/p/-/A-93142873,mushroom supplement
84810686,Horbaach,Horbaach Lions Mane Mushroom Extract 4200mg | 120 Capsules,19.99,19.99,4.5,4,,Capsule,,https://www.target.com/p/-/A-84810686,mushroom supplement
84810708,Horbaach,Horbaach Cordyceps Sinesis Mushroom 2000mg | 200 Capsules,15.99,15.99,5.0,2,,Capsule,,https://www.target.com/p/-/A-84810708,mushroom supplement
16792176,up&up,Probiotic Digestive Health Supplement Capsules - 30ct - up&#38;up&#8482;,14.69,14.69,4.41,179,3k+ bought in last month,Capsule,,https://www.target.com/p/-/A-16792176,mushroom supplement
93164525,Four Sigmatic,Four Sigmatic Memory Organic Mushroom Vegan Vitamin Capsules - 90ct,29.99,29.99,4.5,2,,Capsule,,https://www.target.com/p/-/A-93164525,mushroom supplement
88095293,Piping Rock,Piping Rock Lion's Mane Mushroom 2100 mg | 90 Vegetarian Capsules,14.99,14.99,4.74,134,,Capsule,,https://www.target.com/p/-/A-88095293,mushroom supplement
1008286549,GPGP GreenPeople,"Organic Instant Mushroom Coffee Powder - Focus, Energy & Gut Health - Vegan, Clean - 7.97oz",26.39,43.99,,,,Coffee,,https://www.target.com/p/-/A-1008286549,mushroom supplement
1002779641,MaryRuth's,"MaryRuth's Mushroom Liposomal, Salted Chocolate, 15.22 oz",24.95,24.95,4.46,22,,Chocolate,,https://www.target.com/p/-/A-1002779641,mushroom supplement
87557277,Double Wood Supplements,Turkey Tail Mushroom - 120 x 500 mg capsules by Double Wood Supplements - Immune Support and Antioxidant Supplement,19.95,19.95,5.0,1,,Capsule,,https://www.target.com/p/-/A-87557277,mushroom supplement
1002538719,Real Mushrooms,"Real Mushrooms Lion's Mane, Organic Mushroom Extract Powder, 2.12 oz (60 g)",36.99,36.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002538719,mushroom supplement
89699798,BLOOM NUTRITION,"BLOOM NUTRITION Greens and Superfoods Powder - Pineapple - 25ct: Dietary Supplements, 1 Package, Powder Form",29.99,29.99,4.46,192,2k+ bought in last month,Powder,,https://www.target.com/p/-/A-89699798,mushroom supplement
1006440791,Swanson,"Swanson Full Spectrum Lion's Mane Mushroom, Supports Mental & Overall Health, 500 mg (60 Capsules)",14.69,14.69,4.42,95,,Capsule,,https://www.target.com/p/-/A-1006440791,mushroom supplement
1004933119,Carlyle,Carlyle Lions Mane Mushroom Supplement | 2 Fl Oz,9.79,9.79,0.0,0,,Other,,https://www.target.com/p/-/A-1004933119,mushroom supplement
93908002,MaryRuth's,"MaryRuth's Turkey Tail Mushroom Liposomal, Chocolate Fudge, 7.6 fl oz",24.99,24.99,4.67,3,,Chocolate,,https://www.target.com/p/-/A-93908002,mushroom supplement
91719555,Host Defense,Host Defense Turkey Tail Mushroom Powder - Digestive Health & Immune Support - 3.5 oz (66 Servings)*,23.96,23.96,0.0,0,,Powder,,https://www.target.com/p/-/A-91719555,mushroom supplement
89879583,Piping Rock,Turkey Tail Mushroom 1200mg | 200 Capsules | by Piping Rock,12.98,12.98,4.97,26,,Capsule,,https://www.target.com/p/-/A-89879583,mushroom supplement
87512026,Gaia Herbs,Gaia Herbs Lion's Mane Mushroom - Brain & Nerve Health Support* - 40 Vegan Capsules (40 Servings),29.69,29.69,4.67,3,,Capsule,,https://www.target.com/p/-/A-87512026,mushroom supplement
84965481,Horbaach,Horbaach Chaga Mushroom Supplement | 180 Capsules,18.99,18.99,0.0,0,,Capsule,,https://www.target.com/p/-/A-84965481,mushroom supplement
84810731,Carlyle,Carlyle  Turkey Tail Mushroom 1200mg | 200 Capsules,14.99,14.99,5.0,2,,Capsule,,https://www.target.com/p/-/A-84810731,mushroom supplement
93142872,Om Mushrooms,Om Mushrooms Relax for Stress Relief Support Vegan Organic Gummies - 40ct,19.99,19.99,4.43,21,,Gummy,,https://www.target.com/p/-/A-93142872,mushroom supplement
91719590,Host Defense,"Host Defense MycoBrew Cocoa Drink Mix with Lion's Mane Mushroom, 5oz - 10 Packets (0.5oz each)",14.96,14.96,,,,Powder,,https://www.target.com/p/-/A-91719590,mushroom supplement
1002616764,Om Mushrooms,"Om Mushrooms Mushroom Powder, Reishi, 3.5 oz (100 g)",23.99,23.99,4.82,200,,Powder,,https://www.target.com/p/-/A-1002616764,mushroom supplement
90022204,Carlyle,Carlyle Reishi Mushroom 5000mg | 300 Capsules,20.99,20.99,0.0,0,,Capsule,,https://www.target.com/p/-/A-90022204,mushroom supplement
1002978885,Real Mushrooms,"Real Mushrooms Cordyceps-M®, Mushroom Extract Powder, 2.12 oz (60 g)",36.99,36.99,0.0,0,,Powder,,https://www.target.com/p/-/A-1002978885,mushroom supplement
1001874186,Force Factor,"Force Factor Beetroot + Mushrooms, 120 Vegetable Capsules",18.99,18.99,0.0,0,,Capsule,,https://www.target.com/p/-/A-1001874186,mushroom supplement
